simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 45; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 45; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 46; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 46; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 47; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 47; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 48; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 48; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 49; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 49; food_remaining: 20
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 50; food_remaining: 20
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 50; food_remaining: 21
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 51; food_remaining: 21
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 51; food_remaining: 20
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 52; food_remaining: 20
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 52; food_remaining: 20
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 53; food_remaining: 20
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 53; food_remaining: 20
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 54; food_remaining: 20
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 54; food_remaining: 20
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 55; food_remaining: 20
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 55; food_remaining: 20
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 56; food_remaining: 20
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 56; food_remaining: 19
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 57; food_remaining: 19
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 57; food_remaining: 19
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 58; food_remaining: 19
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 58; food_remaining: 19
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 59; food_remaining: 19
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 59; food_remaining: 18
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 60; food_remaining: 19
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 60; food_remaining: 18
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 61; food_remaining: 18
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 61; food_remaining: 19
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 62; food_remaining: 18
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 62; food_remaining: 18
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 63; food_remaining: 18
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 63; food_remaining: 18
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 64; food_remaining: 18
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 64; food_remaining: 16
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 65; food_remaining: 16
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 65; food_remaining: 18
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 66; food_remaining: 16
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 66; food_remaining: 18
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 67; food_remaining: 17
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 67; food_remaining: 16
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 68; food_remaining: 17
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 68; food_remaining: 16
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 69; food_remaining: 16
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 69; food_remaining: 17
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 70; food_remaining: 15
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 70; food_remaining: 17
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 71; food_remaining: 16
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 71; food_remaining: 15
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 72; food_remaining: 16
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 72; food_remaining: 15
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 73; food_remaining: 16
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 73; food_remaining: 15
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 74; food_remaining: 14
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 74; food_remaining: 15
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 75; food_remaining: 15
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 75; food_remaining: 14
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 76; food_remaining: 14
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 76; food_remaining: 15
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 77; food_remaining: 14
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 77; food_remaining: 14
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 78; food_remaining: 14
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 78; food_remaining: 14
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 79; food_remaining: 14
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 79; food_remaining: 14
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 80; food_remaining: 14
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 80; food_remaining: 13
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 81; food_remaining: 13
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 81; food_remaining: 13
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 82; food_remaining: 13
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 82; food_remaining: 13
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 83; food_remaining: 12
simu: 31; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 83; food_remaining: 13
simu: 30; evaporation_per_cycle: 5.0 ; diffusion_rate: 1.0 ; cycle: 84; food_remaining: 11
