cycle: 256; no_of_treeA: 5973; no_of_treeB: 4577
cycle: 257; no_of_treeA: 5976; no_of_treeB: 4581
cycle: 258; no_of_treeA: 5982; no_of_treeB: 4583
cycle: 259; no_of_treeA: 5986; no_of_treeB: 4586
cycle: 260; no_of_treeA: 5990; no_of_treeB: 4590
cycle: 261; no_of_treeA: 5993; no_of_treeB: 4592
cycle: 262; no_of_treeA: 6000; no_of_treeB: 4595
cycle: 263; no_of_treeA: 6004; no_of_treeB: 4600
cycle: 264; no_of_treeA: 6011; no_of_treeB: 4604
cycle: 265; no_of_treeA: 6013; no_of_treeB: 4608
cycle: 266; no_of_treeA: 6018; no_of_treeB: 4611
cycle: 267; no_of_treeA: 6021; no_of_treeB: 4616
cycle: 268; no_of_treeA: 6028; no_of_treeB: 4617
cycle: 269; no_of_treeA: 6030; no_of_treeB: 4621
cycle: 270; no_of_treeA: 6032; no_of_treeB: 4626
cycle: 271; no_of_treeA: 6035; no_of_treeB: 4629
cycle: 272; no_of_treeA: 6036; no_of_treeB: 4630
cycle: 273; no_of_treeA: 6037; no_of_treeB: 4632
cycle: 274; no_of_treeA: 6042; no_of_treeB: 4638
cycle: 275; no_of_treeA: 6048; no_of_treeB: 4644
cycle: 276; no_of_treeA: 6053; no_of_treeB: 4646
cycle: 277; no_of_treeA: 6059; no_of_treeB: 4652
cycle: 278; no_of_treeA: 6062; no_of_treeB: 4654
cycle: 279; no_of_treeA: 6066; no_of_treeB: 4656
cycle: 280; no_of_treeA: 6074; no_of_treeB: 4659
cycle: 281; no_of_treeA: 6077; no_of_treeB: 4660
cycle: 282; no_of_treeA: 6079; no_of_treeB: 4663
cycle: 283; no_of_treeA: 6081; no_of_treeB: 4664
cycle: 284; no_of_treeA: 6090; no_of_treeB: 4665
cycle: 285; no_of_treeA: 6094; no_of_treeB: 4668
cycle: 286; no_of_treeA: 6098; no_of_treeB: 4669
cycle: 287; no_of_treeA: 6100; no_of_treeB: 4671
cycle: 288; no_of_treeA: 6101; no_of_treeB: 4674
cycle: 289; no_of_treeA: 6105; no_of_treeB: 4676
cycle: 290; no_of_treeA: 6107; no_of_treeB: 4679
cycle: 291; no_of_treeA: 6113; no_of_treeB: 4682
cycle: 292; no_of_treeA: 6115; no_of_treeB: 4685
cycle: 293; no_of_treeA: 6117; no_of_treeB: 4685
cycle: 294; no_of_treeA: 6119; no_of_treeB: 4689
cycle: 295; no_of_treeA: 6121; no_of_treeB: 4691
cycle: 296; no_of_treeA: 6123; no_of_treeB: 4691
cycle: 297; no_of_treeA: 6126; no_of_treeB: 4693
cycle: 298; no_of_treeA: 6129; no_of_treeB: 4694
cycle: 299; no_of_treeA: 6133; no_of_treeB: 4695
cycle: 300; no_of_treeA: 6135; no_of_treeB: 4697
cycle: 301; no_of_treeA: 6135; no_of_treeB: 4700
cycle: 302; no_of_treeA: 6135; no_of_treeB: 4703
cycle: 303; no_of_treeA: 6136; no_of_treeB: 4705
cycle: 304; no_of_treeA: 6136; no_of_treeB: 4707
cycle: 305; no_of_treeA: 6138; no_of_treeB: 4707
cycle: 306; no_of_treeA: 6138; no_of_treeB: 4708
cycle: 307; no_of_treeA: 6139; no_of_treeB: 4709
cycle: 308; no_of_treeA: 6140; no_of_treeB: 4712
cycle: 309; no_of_treeA: 6141; no_of_treeB: 4713
cycle: 310; no_of_treeA: 6143; no_of_treeB: 4714
cycle: 311; no_of_treeA: 6145; no_of_treeB: 4715
cycle: 312; no_of_treeA: 6145; no_of_treeB: 4717
cycle: 313; no_of_treeA: 6147; no_of_treeB: 4717
cycle: 314; no_of_treeA: 6147; no_of_treeB: 4718
cycle: 315; no_of_treeA: 6148; no_of_treeB: 4718
cycle: 316; no_of_treeA: 6148; no_of_treeB: 4719
cycle: 317; no_of_treeA: 6153; no_of_treeB: 4720
cycle: 318; no_of_treeA: 6154; no_of_treeB: 4723
cycle: 319; no_of_treeA: 6155; no_of_treeB: 4724
cycle: 320; no_of_treeA: 6155; no_of_treeB: 4725
cycle: 321; no_of_treeA: 6155; no_of_treeB: 4727
cycle: 322; no_of_treeA: 6158; no_of_treeB: 4727
cycle: 323; no_of_treeA: 6159; no_of_treeB: 4728
cycle: 324; no_of_treeA: 6161; no_of_treeB: 4729
cycle: 325; no_of_treeA: 6161; no_of_treeB: 4730
cycle: 326; no_of_treeA: 6162; no_of_treeB: 4730
cycle: 327; no_of_treeA: 6165; no_of_treeB: 4732
cycle: 328; no_of_treeA: 6167; no_of_treeB: 4734
cycle: 329; no_of_treeA: 6167; no_of_treeB: 4735
cycle: 330; no_of_treeA: 6167; no_of_treeB: 4739
cycle: 331; no_of_treeA: 6167; no_of_treeB: 4740
cycle: 332; no_of_treeA: 6172; no_of_treeB: 4741
cycle: 333; no_of_treeA: 6176; no_of_treeB: 4744
cycle: 334; no_of_treeA: 6180; no_of_treeB: 4747
cycle: 335; no_of_treeA: 6182; no_of_treeB: 4750
cycle: 336; no_of_treeA: 6184; no_of_treeB: 4752
cycle: 337; no_of_treeA: 6188; no_of_treeB: 4753
cycle: 338; no_of_treeA: 6190; no_of_treeB: 4758
cycle: 339; no_of_treeA: 6192; no_of_treeB: 4762
cycle: 340; no_of_treeA: 6192; no_of_treeB: 4764
cycle: 341; no_of_treeA: 6194; no_of_treeB: 4771
cycle: 342; no_of_treeA: 6196; no_of_treeB: 4772
cycle: 343; no_of_treeA: 6200; no_of_treeB: 4775
cycle: 344; no_of_treeA: 6202; no_of_treeB: 4777
cycle: 345; no_of_treeA: 6202; no_of_treeB: 4780
cycle: 346; no_of_treeA: 6205; no_of_treeB: 4782
cycle: 347; no_of_treeA: 6208; no_of_treeB: 4786
cycle: 348; no_of_treeA: 6214; no_of_treeB: 4790
cycle: 349; no_of_treeA: 6215; no_of_treeB: 4792
cycle: 350; no_of_treeA: 6218; no_of_treeB: 4797
cycle: 351; no_of_treeA: 6221; no_of_treeB: 4798
cycle: 352; no_of_treeA: 6226; no_of_treeB: 4799
cycle: 353; no_of_treeA: 6230; no_of_treeB: 4804
cycle: 354; no_of_treeA: 6235; no_of_treeB: 4806
cycle: 355; no_of_treeA: 6238; no_of_treeB: 4810
cycle: 356; no_of_treeA: 6241; no_of_treeB: 4814
cycle: 357; no_of_treeA: 6245; no_of_treeB: 4815
cycle: 358; no_of_treeA: 6252; no_of_treeB: 4817
cycle: 359; no_of_treeA: 6258; no_of_treeB: 4820
cycle: 360; no_of_treeA: 6260; no_of_treeB: 4821
cycle: 361; no_of_treeA: 6261; no_of_treeB: 4825
cycle: 362; no_of_treeA: 6266; no_of_treeB: 4826
cycle: 363; no_of_treeA: 6272; no_of_treeB: 4829
cycle: 364; no_of_treeA: 6278; no_of_treeB: 4831
cycle: 365; no_of_treeA: 6280; no_of_treeB: 4840
cycle: 366; no_of_treeA: 6282; no_of_treeB: 4844
cycle: 367; no_of_treeA: 6288; no_of_treeB: 4847
cycle: 368; no_of_treeA: 6288; no_of_treeB: 4849
cycle: 369; no_of_treeA: 6293; no_of_treeB: 4854
cycle: 370; no_of_treeA: 6297; no_of_treeB: 4856
cycle: 371; no_of_treeA: 6302; no_of_treeB: 4858
cycle: 372; no_of_treeA: 6308; no_of_treeB: 4861
cycle: 373; no_of_treeA: 6310; no_of_treeB: 4864
cycle: 374; no_of_treeA: 6314; no_of_treeB: 4868
cycle: 375; no_of_treeA: 6320; no_of_treeB: 4873
cycle: 376; no_of_treeA: 6324; no_of_treeB: 4873
cycle: 377; no_of_treeA: 6325; no_of_treeB: 4876
cycle: 378; no_of_treeA: 6327; no_of_treeB: 4883
cycle: 379; no_of_treeA: 6332; no_of_treeB: 4886
cycle: 380; no_of_treeA: 6336; no_of_treeB: 4889
cycle: 381; no_of_treeA: 6342; no_of_treeB: 4893
cycle: 382; no_of_treeA: 6343; no_of_treeB: 4901
cycle: 383; no_of_treeA: 6350; no_of_treeB: 4903
cycle: 384; no_of_treeA: 6358; no_of_treeB: 4907
cycle: 385; no_of_treeA: 6360; no_of_treeB: 4910
cycle: 386; no_of_treeA: 6364; no_of_treeB: 4914
cycle: 387; no_of_treeA: 6366; no_of_treeB: 4914
cycle: 388; no_of_treeA: 6370; no_of_treeB: 4917
cycle: 389; no_of_treeA: 6371; no_of_treeB: 4920
cycle: 390; no_of_treeA: 6374; no_of_treeB: 4923
cycle: 391; no_of_treeA: 6377; no_of_treeB: 4925
cycle: 392; no_of_treeA: 6382; no_of_treeB: 4926
cycle: 393; no_of_treeA: 6383; no_of_treeB: 4927
cycle: 394; no_of_treeA: 6386; no_of_treeB: 4932
cycle: 395; no_of_treeA: 6386; no_of_treeB: 4935
cycle: 396; no_of_treeA: 6388; no_of_treeB: 4936
cycle: 397; no_of_treeA: 6391; no_of_treeB: 4938
cycle: 398; no_of_treeA: 6393; no_of_treeB: 4939
cycle: 399; no_of_treeA: 6394; no_of_treeB: 4941
cycle: 400; no_of_treeA: 6396; no_of_treeB: 4945
